name,pct_stem_2000,pct_business_2000,pct_health_2000,pct_arthuman_2000,pct_socialscience_2000,pct_publicsocial_2000,pct_multidisci_2000,pct_tradepersonal_2000,scorecard_median_earnings_2011
Harrison College,14.516129,85.483871,0.0,0.0,0.0,0.0,0.0,0.0,24700.0
Hartnell Community College,10.375671,10.912344,9.3023252,5.0089445,3.3989267,7.8711987,48.837208,4.2933812,29500.0
Hartwick College,17.346939,18.02721,6.462585,19.72789,38.095238,0.0,0.34013605,0.0,46100.0
Harvard University,24.56427,0.0,0.0,16.17647,48.093681,0.0,11.165577,0.0,87200.0
Harvey Mudd College,93.571426,0.0,0.0,0.0,0.0,0.0,6.4285712,0.0,78600.0
Hastings College,14.096916,14.537445,4.8458152,16.299559,46.696037,0.0,3.524229,0.0,40400.0
Haverford College,25.964912,0.0,0.0,28.771931,41.052631,0.0,4.2105265,0.0,55600.0
Hawaii Pacific University,12.5,55.813953,9.4476748,0.58139533,13.00872,7.4127903,1.235465,0.0,43400.0
Hawkeye Community College,13.047285,11.383538,23.730297,5.6917686,0.0,3.3274956,30.735552,12.084063,34400.0
Haywood Community College,20.224718,6.7415729,10.11236,0.0,0.0,1.8726592,9.3632956,51.685394,22600.0
Heald College,59.140602,38.977879,1.8815154,0.0,0.0,0.0,0.0,0.0,37400.0
Heartland Community College,1.0256411,12.820513,6.4102564,0.0,0.0,0.0,79.487175,0.25641027,27900.0
Heidelberg University,19.178082,25.570776,1.369863,11.872147,35.159817,0.45662099,6.392694,0.0,38000.0
Helena College University Of Montana,38.659794,19.072165,11.85567,0.0,0.0,4.1237111,1.0309278,25.257732,31000.0
Henderson State University,12.249443,21.826281,4.8997774,12.694878,37.861916,5.5679288,2.895323,2.0044544,35200.0
Hendrix College,21.028038,0.0,0.0,25.233644,47.196262,0.0,6.5420561,0.0,40500.0
Henry Ford Community College,30.578512,16.44628,17.768595,2.3966942,0.66115701,3.8016529,18.099174,10.247934,29200.0
Heritage College,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,24200.0
Herkimer County Community College - SUNY Office Of Community Coll,2.3622046,29.527559,11.811024,0.39370078,6.4960632,15.944882,31.299212,2.1653543,30300.0
